faces_base,faces_shift_4s,body_parts_base,body_parts_shift_4s,round_objects_base,round_objects_shift_4s,animate_objects_base,animate_objects_shift_4s,bgm_base,bgm_shift_4s,valence_base,valence_shift_4s,arousal_base,arousal_shift_4s,num_chars_base,num_chars_shift_4s,new_char_base,new_char_shift_4s,hierarchy_base,hierarchy_shift_4s,social_action_base,social_action_shift_4s,speaking_base,speaking_shift_4s,speaking_self_base,speaking_self_shift_4s,speaking_others_base,speaking_others_shift_4s,speaking_things_base,speaking_things_shift_4s
1.0832801641423089,0.8498095590033262,1.0,1.0,-0.026474202069016062,0.0878595278560163,-0.11823909266623316,-0.056380973202404296,1.028961183779731,0.6931805273224532,5.288215426166664,6.236311326868799,2.9294850097490652,3.267150838763039,3.2197895032611714,2.239554530191265,1.1447132947352494,0.9680486516695594,0.0,0.0,1.1291626094409173,0.9216934126941223,-0.0009455873536572226,-0.0067287277879698815,0.0,0.0,0.0,-0.0004727936768286113,0.0,0.0
1.0913818459644145,1.0175702040592043,1.0,1.0,-0.016140229159886006,0.008723691176286557,-0.09216884186012561,-0.11858923446074685,1.0830656585884475,0.8924593799975669,4.77541310483215,5.797045244190311,2.9067390217895843,3.087677320114061,3.771252430551545,2.6743799724820763,1.1083090710200116,1.10973904591933,0.0,0.0,1.119830976323458,1.0811634181951555,-0.00025299473026104525,-0.0026893650928301346,0.0,0.0,0.0,-0.00012649736513052262,0.0,0.0
1.0728498414089003,1.0832801641423089,1.0,1.0,0.22477345548132016,-0.026474202069016062,-0.061433130592940366,-0.11823909266623316,1.0879073326619566,1.028961183779731,4.676315809522161,5.288215426166664,3.3771446319773597,2.9294850097490652,4.11228915272798,3.2197895032611714,0.8366596751116202,1.1447132947352494,0.0,0.0,1.0884005267032322,1.1291626094409173,0.0,-0.0009455873536572226,0.0,0.0,0.0,0.0,0.0,0.0
1.0479451314929662,1.0913818459644145,1.0,1.0,0.6420173834982923,-0.016140229159886006,-0.03605757703774959,-0.09216884186012561,1.0521978061976358,1.0830656585884475,4.92932022619585,4.77541310483215,4.235630603836153,2.9067390217895843,4.198791267592059,3.771252430551545,0.39404019353945735,1.1083090710200116,0.0,0.0,1.045988402180596,1.119830976323458,0.0,-0.00025299473026104525,0.0,0.0,0.0,0.0,0.0,0.0
1.02726421301785,1.0728498414089003,1.0,1.0,0.9558623302692125,0.22477345548132016,-0.018915049188316765,-0.061433130592940366,0.7941415937069967,1.0879073326619566,4.874732396854255,4.676315809522161,5.113717179346238,3.3771446319773597,3.726267754361272,4.11228915272798,0.06305271891910427,0.8366596751116202,0.0,0.0,0.9030759691690367,1.0884005267032322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0137457134458665,1.0479451314929662,1.0,1.0,1.103475281787039,0.6420173834982923,-0.00895312922512101,-0.03605757703774959,0.36693574572682874,1.0521978061976358,4.4486335408022715,4.92932022619585,5.8339313789245395,4.235630603836153,2.8586215493629914,4.198791267592059,-0.0945221525619179,0.39404019353945735,0.0,0.0,0.6836613624029664,1.045988402180596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0062559341111412,1.02726421301785,1.0,1.0,1.1418217245180928,0.9558623302692125,-0.003837157570813552,-0.018915049188316765,0.04797482730160105,0.7941415937069967,4.080014394581878,4.874732396854255,6.230738629955222,5.113717179346238,2.1867689578467617,3.726267754361272,-0.13798456694727934,0.06305271891910427,0.0,0.0,0.5227044019531902,0.9030759691690367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0025628677276996,1.0137457134458665,1.0,1.0,1.1262212378208796,1.103475281787039,-0.0014711799115455899,-0.00895312922512101,-0.08287374989334101,0.36693574572682874,3.896014273728938,4.4486335408022715,6.341892700842347,5.8339313789245395,1.8526370622368395,2.8586215493629914,-0.12475005790933379,-0.0945221525619179,0.0,0.0,0.4478198421331653,0.6836613624029664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0009455873536572,1.0062559341111412,1.0,1.0,1.0912920969203885,1.1418217245180928,-0.0004727936768286113,-0.003837157570813552,0.1137562846443326,0.04797482730160105,3.8392836266580375,4.080014394581878,6.194907327752573,6.230738629955222,1.7484035089061352,2.1867689578467617,-0.09081930324355987,-0.13798456694727934,0.0,0.0,0.42858893998603265,0.5227044019531902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.000252994730261,1.0025628677276996,0.9904348240089238,1.0,1.0376414113708046,1.1262212378208796,-0.00012649736513052262,-0.0014711799115455899,0.5367633267228811,-0.08287374989334101,3.8393593795896774,3.896014273728938,5.897805364495379,6.341892700842347,1.743897060463762,1.8526370622368395,-0.05664526598782625,-0.12475005790933379,0.0,0.0,0.42696810723810297,0.4478198421331653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0009455873536572,0.8724473922572016,1.0,0.7759961551030667,1.0912920969203885,0.0,-0.0004727936768286113,0.8767565547491709,0.1137562846443326,3.7586999054852415,3.8392836266580375,5.541445110843309,6.194907327752573,1.569039318461596,1.7484035089061352,-0.03110137058866365,-0.09081930324355987,0.0,0.0,0.32656494695859306,0.42858893998603265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.000252994730261,0.6781361424017611,0.9904348240089238,0.3714891781609342,1.0376414113708046,0.0,-0.00012649736513052262,1.0529672825663727,0.5367633267228811,3.6051897822240813,3.8393593795896774,5.20078049615367,5.897805364495379,1.2932440031458197,1.743897060463762,0.003913458624740419,-0.05664526598782625,0.009565175991076152,0.0,0.15925218803379365,0.42696810723810297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.6435282819080188,0.8724473922572016,0.2937852916040074,0.7759961551030667,0.0,0.0,1.1136119241465856,0.8767565547491709,3.6026593664593363,3.7586999054852415,4.988177852962199,5.541445110843309,1.8635624487063598,1.569039318461596,0.248376487697627,-0.03110137058866365,0.12755260774279842,0.0,0.2555302043564853,0.32656494695859306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.7765595106296501,0.6781361424017611,0.5558083863521304,0.3714891781609342,0.0,0.0,1.112222529644752,1.0529672825663727,3.7561705409561013,3.6051897822240813,4.921136741064478,5.20078049615367,3.1800833972213125,1.2932440031458197,0.6506035260947236,0.003913458624740419,0.33142903358931497,0.009565175991076152,0.6003800975402591,0.15925218803379365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.9116676784671551,0.6435282819080188,0.8242809442879675,0.2937852916040074,0.0,0.0,1.0850361628092473,1.1136119241465856,3.9025201741388575,3.6026593664593363,5.145486025314648,4.988177852962199,4.229999530532268,1.8635624487063598,0.8395504565731037,0.248376487697627,0.4840243258347797,0.12755260774279842,0.8923276404079499,0.2555302043564853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.9911498114585829,0.7765595106296501,0.9825526176474269,0.5558083863521304,0.0,0.0,1.054208895625257,1.112222529644752,3.987368758549599,3.7561705409561013,5.535623875907552,4.921136741064478,4.722572979556602,3.1800833972213125,0.7780570175997537,0.6506035260947236,0.5453043469685888,0.33142903358931497,1.0351094758807564,0.6003800975402591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.026474202069016,0.9116676784671551,1.0529484041380321,0.8242809442879675,0.0,0.0,1.0301557832350063,1.0850361628092473,4.02505582103853,3.9025201741388575,5.397350677459083,5.145486025314648,4.530182643040445,4.229999530532268,0.6606889689004696,0.8395504565731037,0.4448040396248262,0.4840243258347797,0.9708054480170136,0.8923276404079499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0352705811420384,0.9911498114585829,1.0705411622840766,0.9825526176474269,0.0,0.0,0.9958335466449986,1.054208895625257,4.054021441028798,3.987368758549599,4.7577835052456585,5.535623875907552,3.8943466295610194,4.722572979556602,0.5725699000424991,0.7780570175997537,0.24185585390284312,0.5453043469685888,0.776999937679751,1.0351094758807564,0.019130351982152304,0.0,0.019130351982152304,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0303317600042767,1.026474202069016,1.0606635200085535,1.0529484041380321,0.0,0.0,0.751623512302373,1.0301557832350063,4.285436975489874,4.02505582103853,4.317253549950612,5.397350677459083,3.3380027689972573,4.530182643040445,0.5194082432295924,0.6606889689004696,0.1894107272066273,0.4448040396248262,0.7197424872109042,0.9708054480170136,0.25510521548559684,0.0,0.25510521548559684,0.0,0.0,0.0,0.0,0.0
